https://example.test/products/hardware/hardware-001    Products | Hardware | Page 1
https://example.test/products/hardware/hardware-002    Products | Hardware | Page 2
https://example.test/products/hardware/hardware-003    Products | Hardware | Page 3
https://example.test/products/hardware/hardware-004    Products | Hardware | Page 4
https://example.test/products/hardware/hardware-005    Products | Hardware | Page 5
https://example.test/products/hardware/hardware-006    Products | Hardware | Page 6
https://example.test/products/hardware/hardware-007    Products | Hardware | Page 7
https://example.test/products/hardware/hardware-008    Products | Hardware | Page 8
https://example.test/products/hardware/hardware-009    Products | Hardware | Page 9
https://example.test/products/hardware/hardware-010    Products | Hardware | Page 10
https://example.test/products/hardware/hardware-011    Products | Hardware | Page 11
https://example.test/products/hardware/hardware-012    Products | Hardware | Page 12
https://example.test/products/hardware/hardware-013    Products | Hardware | Page 13
https://example.test/products/hardware/hardware-014    Products | Hardware | Page 14
https://example.test/products/hardware/hardware-015    Products | Hardware | Page 15
https://example.test/products/hardware/hardware-016    Products | Hardware | Page 16
https://example.test/products/hardware/hardware-017    Products | Hardware | Page 17
https://example.test/products/hardware/hardware-018    Products | Hardware | Page 18
https://example.test/products/hardware/hardware-019    Products | Hardware | Page 19
https://example.test/products/hardware/hardware-020    Products | Hardware | Page 20
https://example.test/products/hardware/hardware-021    Products | Hardware | Page 21
https://example.test/products/hardware/hardware-022    Products | Hardware | Page 22
https://example.test/products/hardware/hardware-023    Products | Hardware | Page 23
https://example.test/products/hardware/hardware-024    Products | Hardware | Page 24
https://example.test/products/hardware/hardware-025    Products | Hardware | Page 25
https://example.test/products/hardware/hardware-026    Products | Hardware | Page 26
https://example.test/products/hardware/hardware-027    Products | Hardware | Page 27
https://example.test/products/hardware/hardware-028    Products | Hardware | Page 28
https://example.test/products/hardware/hardware-029    Products | Hardware | Page 29
https://example.test/products/hardware/hardware-030    Products | Hardware | Page 30
https://example.test/products/hardware/hardware-031    Products | Hardware | Page 31
https://example.test/products/hardware/hardware-032    Products | Hardware | Page 32
https://example.test/products/hardware/hardware-033    Products | Hardware | Page 33
https://example.test/products/hardware/hardware-034    Products | Hardware | Page 34
https://example.test/products/hardware/hardware-035    Products | Hardware | Page 35
https://example.test/products/hardware/hardware-036    Products | Hardware | Page 36
https://example.test/products/hardware/hardware-037    Products | Hardware | Page 37
https://example.test/products/hardware/hardware-038    Products | Hardware | Page 38
https://example.test/products/hardware/hardware-039    Products | Hardware | Page 39
https://example.test/products/hardware/hardware-040    Products | Hardware | Page 40
https://example.test/products/software/software-001    Products | Software | Page 1
https://example.test/products/software/software-002    Products | Software | Page 2
https://example.test/products/software/software-003    Products | Software | Page 3
https://example.test/products/software/software-004    Products | Software | Page 4
https://example.test/products/software/software-005    Products | Software | Page 5
https://example.test/products/software/software-006    Products | Software | Page 6
https://example.test/products/software/software-007    Products | Software | Page 7
https://example.test/products/software/software-008    Products | Software | Page 8
https://example.test/products/software/software-009    Products | Software | Page 9
https://example.test/products/software/software-010    Products | Software | Page 10
https://example.test/products/software/software-011    Products | Software | Page 11
https://example.test/products/software/software-012    Products | Software | Page 12
https://example.test/products/software/software-013    Products | Software | Page 13
https://example.test/products/software/software-014    Products | Software | Page 14
https://example.test/products/software/software-015    Products | Software | Page 15
https://example.test/products/software/software-016    Products | Software | Page 16
https://example.test/products/software/software-017    Products | Software | Page 17
https://example.test/products/software/software-018    Products | Software | Page 18
https://example.test/products/software/software-019    Products | Software | Page 19
https://example.test/products/software/software-020    Products | Software | Page 20
https://example.test/products/software/software-021    Products | Software | Page 21
https://example.test/products/software/software-022    Products | Software | Page 22
https://example.test/products/software/software-023    Products | Software | Page 23
https://example.test/products/software/software-024    Products | Software | Page 24
https://example.test/products/software/software-025    Products | Software | Page 25
https://example.test/products/software/software-026    Products | Software | Page 26
https://example.test/products/software/software-027    Products | Software | Page 27
https://example.test/products/software/software-028    Products | Software | Page 28
https://example.test/products/software/software-029    Products | Software | Page 29
https://example.test/products/software/software-030    Products | Software | Page 30
https://example.test/products/software/software-031    Products | Software | Page 31
https://example.test/products/software/software-032    Products | Software | Page 32
https://example.test/products/software/software-033    Products | Software | Page 33
https://example.test/products/software/software-034    Products | Software | Page 34
https://example.test/products/software/software-035    Products | Software | Page 35
https://example.test/products/software/software-036    Products | Software | Page 36
https://example.test/products/software/software-037    Products | Software | Page 37
https://example.test/products/software/software-038    Products | Software | Page 38
https://example.test/products/software/software-039    Products | Software | Page 39
https://example.test/products/software/software-040    Products | Software | Page 40
https://example.test/products/accessories/accessories-001    Products | Accessories | Page 1
https://example.test/products/accessories/accessories-002    Products | Accessories | Page 2
https://example.test/products/accessories/accessories-003    Products | Accessories | Page 3
https://example.test/products/accessories/accessories-004    Products | Accessories | Page 4
https://example.test/products/accessories/accessories-005    Products | Accessories | Page 5
https://example.test/products/accessories/accessories-006    Products | Accessories | Page 6
https://example.test/products/accessories/accessories-007    Products | Accessories | Page 7
https://example.test/products/accessories/accessories-008    Products | Accessories | Page 8
https://example.test/products/accessories/accessories-009    Products | Accessories | Page 9
https://example.test/products/accessories/accessories-010    Products | Accessories | Page 10
https://example.test/products/accessories/accessories-011    Products | Accessories | Page 11
https://example.test/products/accessories/accessories-012    Products | Accessories | Page 12
https://example.test/products/accessories/accessories-013    Products | Accessories | Page 13
https://example.test/products/accessories/accessories-014    Products | Accessories | Page 14
https://example.test/products/accessories/accessories-015    Products | Accessories | Page 15
https://example.test/products/accessories/accessories-016    Products | Accessories | Page 16
https://example.test/products/accessories/accessories-017    Products | Accessories | Page 17
https://example.test/products/accessories/accessories-018    Products | Accessories | Page 18
https://example.test/products/accessories/accessories-019    Products | Accessories | Page 19
https://example.test/products/accessories/accessories-020    Products | Accessories | Page 20
https://example.test/products/accessories/accessories-021    Products | Accessories | Page 21
https://example.test/products/accessories/accessories-022    Products | Accessories | Page 22
https://example.test/products/accessories/accessories-023    Products | Accessories | Page 23
https://example.test/products/accessories/accessories-024    Products | Accessories | Page 24
https://example.test/products/accessories/accessories-025    Products | Accessories | Page 25
https://example.test/products/accessories/accessories-026    Products | Accessories | Page 26
https://example.test/products/accessories/accessories-027    Products | Accessories | Page 27
https://example.test/products/accessories/accessories-028    Products | Accessories | Page 28
https://example.test/products/accessories/accessories-029    Products | Accessories | Page 29
https://example.test/products/accessories/accessories-030    Products | Accessories | Page 30
https://example.test/products/accessories/accessories-031    Products | Accessories | Page 31
https://example.test/products/accessories/accessories-032    Products | Accessories | Page 32
https://example.test/products/accessories/accessories-033    Products | Accessories | Page 33
https://example.test/products/accessories/accessories-034    Products | Accessories | Page 34
https://example.test/products/accessories/accessories-035    Products | Accessories | Page 35
https://example.test/products/accessories/accessories-036    Products | Accessories | Page 36
https://example.test/products/accessories/accessories-037    Products | Accessories | Page 37
https://example.test/products/accessories/accessories-038    Products | Accessories | Page 38
https://example.test/products/accessories/accessories-039    Products | Accessories | Page 39
https://example.test/products/accessories/accessories-040    Products | Accessories | Page 40
https://example.test/products/bundles/bundles-001    Products | Bundles | Page 1
https://example.test/products/bundles/bundles-002    Products | Bundles | Page 2
https://example.test/products/bundles/bundles-003    Products | Bundles | Page 3
https://example.test/products/bundles/bundles-004    Products | Bundles | Page 4
https://example.test/products/bundles/bundles-005    Products | Bundles | Page 5
https://example.test/products/bundles/bundles-006    Products | Bundles | Page 6
https://example.test/products/bundles/bundles-007    Products | Bundles | Page 7
https://example.test/products/bundles/bundles-008    Products | Bundles | Page 8
https://example.test/products/bundles/bundles-009    Products | Bundles | Page 9
https://example.test/products/bundles/bundles-010    Products | Bundles | Page 10
https://example.test/products/bundles/bundles-011    Products | Bundles | Page 11
https://example.test/products/bundles/bundles-012    Products | Bundles | Page 12
https://example.test/products/bundles/bundles-013    Products | Bundles | Page 13
https://example.test/products/bundles/bundles-014    Products | Bundles | Page 14
https://example.test/products/bundles/bundles-015    Products | Bundles | Page 15
https://example.test/products/bundles/bundles-016    Products | Bundles | Page 16
https://example.test/products/bundles/bundles-017    Products | Bundles | Page 17
https://example.test/products/bundles/bundles-018    Products | Bundles | Page 18
https://example.test/products/bundles/bundles-019    Products | Bundles | Page 19
https://example.test/products/bundles/bundles-020    Products | Bundles | Page 20
https://example.test/products/bundles/bundles-021    Products | Bundles | Page 21
